config,N,K,p,arm,chi,n_eff,entropy
paper defaults,200,4,0.3,social,0.7750329007773973,0.6247360500779934,0.818303631046158
paper defaults,200,4,0.3,social,0.3337821956219058,0.8997575165164979,0.9603262577260189
paper defaults,200,4,0.3,social,0.6435114018635724,0.7071601042296817,0.7658637400673037
paper defaults,200,4,0.3,social,0.6510564065004789,0.7023091143331526,0.8827911834759736
paper defaults,200,4,0.3,social,0.6970010717064103,0.6730333404328473,0.7372465108015412
paper defaults,200,4,0.3,social,0.2850154407712248,0.9248693470672382,0.972886968858017
paper defaults,200,4,0.3,social,0.6337447011522244,0.7134538544887614,0.8309052374515699
paper defaults,200,4,0.3,social,0.5713247776419347,0.7539135644379265,0.8557624721999126
paper defaults,200,4,0.3,social,0.6847830928606375,0.6807686141096517,0.8618353097887965
paper defaults,200,4,0.3,social,0.5390208947465364,0.7748673180322572,0.895371693645903
paper defaults,200,4,0.3,social,0.35719060913456896,0.8868509989023676,0.9603250691526125
paper defaults,200,4,0.3,social,0.46051312929199756,0.8250332633969858,0.9253841985703651
paper defaults,200,4,0.3,social,0.788399857235144,0.6166846492848722,0.7434236828803968
paper defaults,200,4,0.3,social,0.9209788703047761,0.5410663752984396,0.7161653278208558
paper defaults,200,4,0.3,social,0.59322518656891,0.739690860802533,0.8841305141630348
paper defaults,200,4,0.3,social,0.9715776339549144,0.5144130568201424,0.7099246130990761
paper defaults,200,4,0.3,social,0.9277515521148665,0.5374255227285357,0.7379463109525448
paper defaults,200,4,0.3,social,0.9036219942706258,0.5504993085477892,0.7462913260917693
paper defaults,200,4,0.3,social,0.5899114428497411,0.7418422333613759,0.8471956017328715
paper defaults,200,4,0.3,social,0.6441447724580844,0.706752496028759,0.873342217999784
paper defaults,200,4,0.3,social,0.5157800259097239,0.7898713001470319,0.8914524332929666
paper defaults,200,4,0.3,social,0.32427440455259965,0.9048513601119655,0.9523597902419514
paper defaults,200,4,0.3,social,0.219091806322869,0.9541973628463536,0.9772625264541485
paper defaults,200,4,0.3,social,0.35853144633520817,0.8860968583278708,0.9562063483711468
