variant,fid,dim,seed,error,seconds
degree,23,30,14,200.0,89.819
degree,23,30,15,200.0,89.897
degree,23,30,16,200.0,90.479
degree,23,30,17,200.0,90.588
degree,23,30,18,200.00000000000045,89.479
degree,23,30,19,200.0,89.511
degree,23,30,2,200.0,89.597
degree,23,30,20,200.0,90.075
degree,23,30,21,200.0,90.38
degree,23,30,22,200.0,89.671
degree,23,30,23,200.0,89.772
degree,23,30,24,200.0,90.338
degree,23,30,25,200.0,89.214
degree,23,30,26,200.0,90.544
degree,23,30,27,200.0,89.853
degree,23,30,28,200.0,92.389
degree,23,30,29,200.0,89.013
degree,23,30,3,200.0,90.031
degree,23,30,4,200.0,90.514
degree,23,30,5,200.0,89.894
degree,23,30,6,200.0,90.661
degree,23,30,7,200.0,89.828
degree,23,30,8,200.0,90.917
degree,23,30,9,200.0,90.983
degree,24,30,0,421.7460913556979,106.099
degree,24,30,1,421.6206760976211,106.112
degree,24,30,10,420.83748846174785,105.545
degree,24,30,11,420.8780710855931,104.977
degree,24,30,12,421.3697335907559,111.464
degree,24,30,13,421.37842235154494,103.972
degree,24,30,14,422.8802717301405,111.757
degree,24,30,15,421.0988220284021,110.513
degree,24,30,16,421.93798472296567,97.478
degree,24,30,17,421.85701538680405,103.977
degree,24,30,18,420.95803531153615,87.048
degree,24,30,19,422.0302031589381,113.103
degree,24,30,2,421.0893826904867,106.346
degree,24,30,20,421.32778731095004,84.839
degree,24,30,21,420.8938836907719,92.218
degree,24,30,22,422.1147377486459,76.28
degree,24,30,23,421.04493363108577,107.136
degree,24,30,24,421.2983520536127,71.327
degree,24,30,25,421.32270203504777,75.235
degree,24,30,26,421.4488149939507,71.244
degree,24,30,27,420.85360943254364,69.824
degree,24,30,28,422.20606138301173,80.814
degree,24,30,29,421.2160206253561,76.312
degree,24,30,3,422.17246879154663,106.658
degree,24,30,4,431.9321198208918,105.242
degree,24,30,5,420.8380910749911,106.663
degree,24,30,6,421.032542395134,104.54
degree,24,30,7,420.8087629446727,105.334
degree,24,30,8,421.9686023737295,104.906
degree,24,30,9,421.10424454070244,104.802
degree,25,30,0,827.9998785898065,344.61
degree,25,30,1,827.9687311959315,333.329
degree,25,30,10,828.002987216039,360.343
degree,25,30,11,829.0658848784587,330.227
degree,25,30,12,829.9195307810014,380.29
degree,25,30,13,827.8942231840006,418.208
degree,25,30,14,828.0952507743509,376.412
degree,25,30,15,880.9397733062815,385.25
degree,25,30,16,827.9648107416788,366.718
degree,25,30,17,828.0626865999711,413.821
degree,25,30,18,827.8605132010453,395.853
degree,25,30,19,827.934231371336,360.487
degree,25,30,2,828.0320515859421,348.738
degree,25,30,20,829.1443105996686,400.843
degree,25,30,21,828.0452134113539,392.592
degree,25,30,22,828.0024331479426,411.217
degree,25,30,23,830.8641925170305,367.049
degree,25,30,24,875.4457975326341,432.697
degree,25,30,25,828.0578339829726,427.484
degree,25,30,26,828.0214472143434,434.893
degree,25,30,27,828.0849694931603,434.459
degree,25,30,28,836.9787782146768,434.284
degree,25,30,29,836.397448724118,426.665
degree,25,30,3,827.9317829231918,342.599
degree,25,30,4,828.0201160439401,345.892
degree,25,30,5,828.0052687839388,337.039
degree,25,30,6,828.1099842994954,343.037
degree,25,30,7,828.0204187267805,326.173
degree,25,30,8,827.8671710221302,344.264
degree,25,30,9,828.1242841530429,343.439
degree,26,30,0,552.2794725337972,444.96
degree,26,30,1,547.8429615071213,445.207
degree,26,30,10,537.4715364828071,433.375
degree,26,30,11,567.5596769446447,436.859
degree,26,30,12,565.4298085280607,449.929
degree,26,30,13,542.5325020121222,446.35
degree,26,30,14,528.4961803333581,449.449
degree,26,30,15,556.1820409687466,448.705
degree,26,30,16,513.7804967888869,450.278
