variant,function,seed,best,evals,seconds
social,Rastrigin,1,12.49889674954943,20000,3.2836314999876777
social,Rastrigin,2,29.132383602456173,20000,3.3239113000017824
social,Rastrigin,3,19.606939814354178,20000,3.2398049000039464
social,Rastrigin,4,23.11516501303265,20000,3.2463951999961864
social,Rastrigin,5,24.574579280418163,20000,3.3085938000003807
social,Rastrigin,6,30.21814084963296,20000,3.235742400007439
social,Rastrigin,7,17.983071890117003,20000,3.1423009999998612
social,Rastrigin,8,68.29874801251944,20000,3.274569999994128
social,Rastrigin,9,25.632814848734085,20000,3.216714399997727
social,Rastrigin,10,39.50923188179132,20000,3.209101800006465
social,Rastrigin,11,18.463253431109763,20000,3.225799299994833
social,Rastrigin,12,43.02683133630086,20000,3.4012124000000767
social,Rastrigin,13,27.72472917508827,20000,3.415944700012915
social,Rastrigin,14,25.697251698164052,20000,3.3814469000062672
social,Rastrigin,15,32.23534806595143,20000,3.4589067999913823
social,Rastrigin,16,36.486422839720944,20000,3.4601694000011776
social,Rastrigin,17,23.38813349594932,20000,3.512243099990883
social,Rastrigin,18,21.912739699207293,20000,3.546136100005242
social,Rastrigin,19,19.462819707158758,20000,3.5054252999980235
social,Rastrigin,20,16.109388102027538,20000,3.533542800010764
social,Rastrigin,21,42.99779588589672,20000,3.5358912000083365
social,Rastrigin,22,58.20241576992774,20000,3.526896900002612
social,Rastrigin,23,27.85322824397582,20000,3.4829195000056643
social,Rastrigin,24,23.96091514819301,20000,3.526484200003324
social,Rastrigin,25,29.39633712095116,20000,3.508203900011722
social,Rastrigin,26,74.98630921442677,20000,3.5879700999939814
social,Rastrigin,27,18.96834608169945,20000,3.594301599994651
social,Rastrigin,28,23.694118235098188,20000,3.562397500005318
social,Rastrigin,29,30.655804694898336,20000,3.61314269999275
social,Ackley,0,6.307051299869485,20000,3.7689405999990413
social,Ackley,1,6.786954375088975,20000,3.834664399997564
social,Ackley,2,6.718956766402236,20000,3.769310799994855
social,Ackley,3,6.824100107547606,20000,3.721678799993242
social,Ackley,4,6.386883610076367,20000,3.709835400004522
social,Ackley,5,6.136090259513519,20000,3.7346929000050295
social,Ackley,6,4.1978145819670125,20000,3.804255600000033
social,Ackley,7,4.958369749110904,20000,3.7784809000004316
social,Ackley,8,7.6360391459825205,20000,3.774749000003794
social,Ackley,9,4.172222935261161,20000,3.882073400003719
social,Ackley,10,8.130196971432213,20000,3.859825200008345
social,Ackley,11,5.515239574488891,20000,3.874627100012731
social,Ackley,12,5.968262764989436,20000,3.6919485999969766
social,Ackley,13,5.328761562418656,20000,3.6404017000022577
social,Ackley,14,5.462426804287826,20000,3.6659127000020817
social,Ackley,15,6.336528085067197,20000,3.711438199999975
social,Ackley,16,5.836429715579861,20000,3.716687699998147
social,Ackley,17,6.93743265864952,20000,3.6696260000026086
social,Ackley,18,5.299995931779623,20000,3.5411709000036353
social,Ackley,19,6.658097545188809,20000,3.5837674000067636
social,Ackley,20,6.696709780865788,20000,3.6210485999908997
social,Ackley,21,5.9796655622546915,20000,3.622813199996017
social,Ackley,22,5.574406326457609,20000,3.6529948999959743
social,Ackley,23,6.154818846735431,20000,3.6797269999951823
social,Ackley,24,5.50736432567928,20000,3.62226709999959
social,Ackley,25,5.8167403360730106,20000,3.5557124999904772
social,Ackley,26,7.692394470463242,20000,3.580943099994329
social,Ackley,27,5.939675991334912,20000,3.488040699987323
social,Ackley,28,7.517611444939625,20000,3.455766400002176
social,Ackley,29,6.241143646610588,20000,3.478963199988357
social,Griewank,0,1.5876205354369726,20000,3.342267800006084
social,Griewank,1,1.2049088561899526,20000,3.295035999995889
social,Griewank,2,1.6417668668187106,20000,3.2381749999913154
social,Griewank,3,1.4439769770731083,20000,3.2673561999981757
social,Griewank,4,1.4027832702079408,20000,3.2891166000044905
social,Griewank,5,1.6187456494049506,20000,3.3180530999961775
social,Griewank,6,1.3041399717052855,20000,3.5074626999994507
social,Griewank,7,1.2370077052455353,20000,3.5003617000038503
social,Griewank,8,3.1421993966568342,20000,3.53982229999383
social,Griewank,9,1.2636805333797139,20000,3.5206684000004316
social,Griewank,10,1.6996537055037533,20000,3.4958872999995947
social,Griewank,11,1.7238900903146424,20000,3.551512599995476
social,Griewank,12,1.2096934992228956,20000,3.2887463999941247
social,Griewank,13,1.1753355161167542,20000,3.3376162000058684
social,Griewank,14,1.6020685756578148,20000,3.2899564999970607
social,Griewank,15,1.3442803311379241,20000,3.3271869999880437
social,Griewank,16,2.0926610450196463,20000,3.2796497999952408
social,Griewank,17,1.4212668271183475,20000,3.336096200000611
social,Griewank,18,1.2158435762949733,20000,3.3645157999999356
social,Griewank,19,1.3818822344868504,20000,3.345725200008019
social,Griewank,20,1.7033477279030582,20000,3.4000604000029853
social,Griewank,21,1.5595462869612229,20000,3.3533040000038454
social,Griewank,22,1.3889120932414725,20000,3.380835300005856
social,Griewank,23,1.365549241993724,20000,3.392519999993965
social,Griewank,24,1.142162505459234,20000,3.3440988999936963
social,Griewank,25,1.0825019899776556,20000,3.3651112000079593
social,Griewank,26,1.3408715725864133,20000,3.325135199993383
