variant,fid,dim,seed,error,seconds
shuffled,1,30,29,1492.96600768372,25.063
shuffled,1,30,3,4976.334825402531,25.181
shuffled,1,30,4,156.6429689415362,25.203
shuffled,1,30,5,166.33303684909447,25.109
shuffled,1,30,6,2824.0111982438457,25.166
shuffled,1,30,7,2189.2780575517145,25.201
shuffled,1,30,8,2572.6926668982924,24.985
shuffled,1,30,9,3855.024299901267,25.161
shuffled,20,30,0,100.15332757123406,79.393
shuffled,20,30,1,783.4113076707476,79.22
shuffled,20,30,10,1115.7285856833564,79.302
shuffled,20,30,11,100.11704131163287,79.007
shuffled,20,30,12,100.16003478760422,79.453
shuffled,20,30,13,525.6604270019184,79.2
shuffled,20,30,14,795.4907511170436,79.779
shuffled,20,30,15,100.12413300498883,79.708
shuffled,20,30,16,100.1377362971175,79.758
shuffled,20,30,17,100.11817552749699,79.249
shuffled,20,30,18,100.16112591649608,79.716
shuffled,20,30,19,715.759025105096,79.297
shuffled,20,30,2,709.2978803095571,79.308
shuffled,20,30,20,100.10808345792248,79.551
shuffled,20,30,21,776.9164225076879,79.312
shuffled,20,30,22,764.7949992280937,79.692
shuffled,20,30,23,656.4909166416055,79.67
shuffled,20,30,24,570.7281698946185,79.238
shuffled,20,30,25,773.8123050715576,79.288
shuffled,20,30,26,100.11746410105661,79.286
shuffled,20,30,27,709.69336279461,79.79
shuffled,20,30,28,809.2151153654022,79.355
shuffled,20,30,29,100.16198745474412,79.46
shuffled,20,30,3,100.16962250279448,79.318
shuffled,20,30,4,804.1326484925439,79.212
shuffled,20,30,5,727.1726837982487,78.984
shuffled,20,30,6,948.4615471022707,78.627
shuffled,20,30,7,713.7631408134439,79.097
shuffled,20,30,8,736.7219227747919,79.314
shuffled,20,30,9,724.5513414470079,79.734
shuffled,21,30,0,1894.4413551208168,99.393
shuffled,21,30,1,1804.4286536315603,102.189
shuffled,21,30,10,1913.0811658973207,102.155
shuffled,21,30,11,2320.6949344374934,101.944
shuffled,21,30,12,1730.594695861409,100.504
shuffled,21,30,13,2195.717647261179,102.263
shuffled,21,30,14,940.0621085680814,101.552
shuffled,21,30,15,897.714942567658,101.621
shuffled,21,30,16,1550.5658525065537,102.338
shuffled,21,30,17,998.4235828859019,100.848
shuffled,21,30,18,974.2597476998872,101.333
shuffled,21,30,19,2443.8170220139364,101.896
shuffled,21,30,2,1246.8498144940118,102.469
shuffled,21,30,20,1855.3463435604067,102.081
shuffled,21,30,21,2075.1491766570543,102.358
shuffled,21,30,22,1834.6164966598271,101.567
shuffled,21,30,23,1573.7146502061323,100.811
shuffled,21,30,24,2261.062366301552,98.582
shuffled,21,30,25,1607.4363025538178,101.875
shuffled,21,30,26,1460.5262524832033,101.713
shuffled,21,30,27,2127.4378434796963,101.266
shuffled,21,30,28,1628.535477525048,101.534
shuffled,21,30,29,1650.8294963347198,101.901
shuffled,21,30,3,684.7905263438784,100.49
shuffled,21,30,4,1361.9097971082447,103.257
shuffled,21,30,5,1862.9384415850263,101.626
shuffled,21,30,6,2351.843554242965,100.336
shuffled,21,30,7,1210.5767615774325,101.586
shuffled,21,30,8,2098.4048739439495,101.252
shuffled,21,30,9,944.9910287623757,102.092
shuffled,22,30,0,985.7261840364213,119.745
shuffled,22,30,1,200.60664368928974,116.499
shuffled,22,30,10,1219.5397782948953,119.939
shuffled,22,30,11,200.61547230938322,116.524
shuffled,22,30,12,200.652729487721,117.015
shuffled,22,30,13,200.7486152697693,116.697
shuffled,22,30,14,200.52103368830058,116.965
shuffled,22,30,15,200.61473746451384,116.779
shuffled,22,30,16,200.65824916421934,117.369
shuffled,22,30,17,200.685723369098,116.627
shuffled,22,30,18,200.6845102151883,116.261
shuffled,22,30,19,100.36782629941172,119.417
shuffled,22,30,2,200.6235816644571,116.901
shuffled,22,30,20,200.71657618026484,116.439
shuffled,22,30,21,979.4609045796396,119.951
shuffled,22,30,22,875.0931279571769,119.599
shuffled,22,30,23,200.51969964525324,116.58
shuffled,22,30,24,200.73589439957686,117.084
shuffled,22,30,25,200.64384599909317,117.079
shuffled,22,30,26,726.0376425840814,120.236
shuffled,22,30,27,781.1286992887653,120.168
shuffled,22,30,28,200.69479552867506,117.415
shuffled,22,30,29,200.6857709970118,116.544
shuffled,22,30,3,827.841027616957,119.667
shuffled,22,30,4,709.2552567904572,119.921
shuffled,22,30,5,200.6078419327696,116.357
shuffled,22,30,6,897.6044523416595,119.171
shuffled,22,30,7,100.36274586474337,119.683
shuffled,22,30,8,200.61511705686235,116.879
shuffled,22,30,9,200.72334861270792,117.243
shuffled,23,30,0,200.32426041295957,94.798
shuffled,23,30,1,200.45081160389418,94.788
shuffled,23,30,10,200.406540066881,95.477
shuffled,23,30,11,200.37264166980094,94.857
shuffled,23,30,12,626.6200079126975,95.243
shuffled,23,30,13,200.73998597354966,94.898
shuffled,23,30,14,894.145167080012,95.548
shuffled,23,30,15,749.1179781999149,95.014
shuffled,23,30,16,200.31464243994787,95.632
shuffled,23,30,17,200.47207638311602,95.385
shuffled,23,30,18,200.40880765634165,94.963
shuffled,23,30,19,200.39323403573462,95.076
shuffled,23,30,2,200.30956313430124,94.919
shuffled,23,30,20,200.34700703677845,95.134
shuffled,23,30,21,200.4752459732149,95.547
shuffled,23,30,22,200.4298876364037,95.397
shuffled,23,30,23,200.42412325077066,94.954
shuffled,23,30,24,200.3476220811781,95.334
shuffled,23,30,25,200.472144824721,94.837
shuffled,23,30,26,706.4804715566543,95.41
shuffled,23,30,27,200.3785071406228,95.173
shuffled,23,30,28,200.48181192358197,95.599
shuffled,23,30,29,200.34749315743147,95.065
shuffled,23,30,3,200.3462805904619,95.33
shuffled,23,30,4,200.45961208312747,95.345
shuffled,23,30,5,200.28851394632102,95.222
shuffled,23,30,6,200.36032970286533,95.352
shuffled,23,30,7,200.45360204857616,95.295
shuffled,23,30,8,200.34831957290544,95.483
shuffled,23,30,9,200.3902930588256,95.371
shuffled,24,30,0,450.60142711299477,109.751
shuffled,24,30,1,440.10056360505223,109.26
shuffled,24,30,10,426.0948602201065,110.341
shuffled,24,30,11,443.6768057078848,109.589
shuffled,24,30,12,438.3715398737513,109.933
shuffled,24,30,13,435.2361975353624,109.328
shuffled,24,30,14,508.67253140324647,109.963
shuffled,24,30,15,434.6781233700017,109.701
shuffled,24,30,16,445.9881185320146,110.202
shuffled,24,30,17,445.0271407884643,109.862
shuffled,24,30,18,429.72993712874586,109.673
shuffled,24,30,19,432.581661198913,109.862
shuffled,24,30,2,443.3003685809849,109.948
shuffled,24,30,20,532.0317428773874,110.051
shuffled,24,30,21,436.72960502855403,110.006
shuffled,24,30,22,426.20583112013173,110.303
shuffled,24,30,23,451.03627882909586,109.511
shuffled,24,30,24,428.59135997696694,109.795
shuffled,24,30,25,443.79783592130207,109.511
shuffled,24,30,26,433.36155009627237,110.156
shuffled,24,30,27,435.1045254988089,109.669
shuffled,24,30,28,447.0859589248912,110.299
shuffled,24,30,29,495.52738006915206,109.636
shuffled,24,30,3,444.4532587143053,110.144
shuffled,24,30,4,432.3012803600245,110.051
shuffled,24,30,5,518.0398138989367,109.721
shuffled,24,30,6,433.0979202295707,110.037
shuffled,24,30,7,506.7536383788688,109.987
shuffled,24,30,8,516.9978776620637,110.277
shuffled,24,30,9,487.09844124578603,110.084
shuffled,25,30,0,901.1155282648033,401.541
shuffled,25,30,1,850.1111828321286,400.345
shuffled,25,30,10,828.9189301773472,401.867
shuffled,25,30,11,831.4749581299511,400.162
shuffled,25,30,12,777.559893639574,401.367
shuffled,25,30,13,746.2884777011741,400.819
shuffled,25,30,14,805.9249576213142,401.65
shuffled,25,30,15,813.857137676388,403.696
shuffled,25,30,16,828.0775177067931,401.712
shuffled,25,30,17,811.3731038885794,399.988
shuffled,25,30,18,737.7218193102553,401.208
shuffled,25,30,19,800.2799922776958,400.573
shuffled,25,30,2,789.0444213425744,401.256
shuffled,25,30,20,0.00169351351178193,396.154
