variant,function,seed,best,seconds
ads,Schwefel_1_2,23,76.51234565976667,13.108
ads,Schwefel_1_2,24,103.60289860729931,13.341
ads,Schwefel_1_2,25,51.1334145022992,13.199
ads,Schwefel_1_2,26,83.4155597852763,13.076
ads,Schwefel_1_2,27,77.2901442643018,13.251
ads,Schwefel_1_2,28,268.14327314567174,13.301
ads,Schwefel_1_2,29,76.04761082069571,13.052
ads,Schwefel_1_2,3,99.49416680034294,12.992
ads,Schwefel_1_2,4,85.0591002923547,12.932
ads,Schwefel_1_2,5,83.53668697229385,12.971
ads,Schwefel_1_2,6,75.62822512809062,12.936
ads,Schwefel_1_2,7,123.0810053684324,12.955
ads,Schwefel_1_2,8,85.54782162329698,12.93
ads,Schwefel_1_2,9,120.35668857477192,12.898
ads,Schwefel_2_21,0,0.8178159702823212,2.068
ads,Schwefel_2_21,1,8.661165505417872,2.018
ads,Schwefel_2_21,10,1.1244344060716278,2.098
ads,Schwefel_2_21,11,0.6303971753561741,2.072
ads,Schwefel_2_21,12,0.07821823442958448,2.072
ads,Schwefel_2_21,13,0.34011150122043804,1.994
ads,Schwefel_2_21,14,8.068499005011477,1.967
ads,Schwefel_2_21,15,0.3469494281876997,1.988
ads,Schwefel_2_21,16,0.24839028186400997,1.978
ads,Schwefel_2_21,17,5.082944009581069,2.01
ads,Schwefel_2_21,18,6.661407853768651,2.037
ads,Schwefel_2_21,19,6.849713555153277,2.097
ads,Schwefel_2_21,2,6.745733944681431,2.037
ads,Schwefel_2_21,20,6.806618823786833,1.99
ads,Schwefel_2_21,21,1.6900901624964417,2.044
ads,Schwefel_2_21,22,0.39719738317052344,2.079
ads,Schwefel_2_21,23,7.573519300534912,2.068
ads,Schwefel_2_21,24,0.42309767615232413,1.993
ads,Schwefel_2_21,25,0.3588170595410197,2.151
ads,Schwefel_2_21,26,0.20266341904988025,2.005
ads,Schwefel_2_21,27,4.620276975109505,2.044
ads,Schwefel_2_21,28,4.317247622925914,2.041
ads,Schwefel_2_21,29,0.8409963595812908,2.017
ads,Schwefel_2_21,3,0.12413736500873766,1.959
ads,Schwefel_2_21,4,0.27934726491628753,1.986
ads,Schwefel_2_21,5,1.1909318811303828,2.091
ads,Schwefel_2_21,6,7.124376482569248,1.948
ads,Schwefel_2_21,7,0.6333873141771755,2.065
ads,Schwefel_2_21,8,2.636704096281921,2.055
ads,Schwefel_2_21,9,0.09434523957757818,2.054
ads,Schwefel_2_22,0,2.0855885833589625,2.389
ads,Schwefel_2_22,1,3.278535460059433,2.393
ads,Schwefel_2_22,10,4.031372990488289,2.465
ads,Schwefel_2_22,11,3.5374322799748676,2.466
ads,Schwefel_2_22,12,1.4806356785283805,2.316
ads,Schwefel_2_22,13,1.2904924877425303,2.409
ads,Schwefel_2_22,14,3.026924683538646,2.443
ads,Schwefel_2_22,15,3.0515009283742285,2.596
ads,Schwefel_2_22,16,4.0855933559424535,2.344
ads,Schwefel_2_22,17,0.414927819148091,2.443
ads,Schwefel_2_22,18,2.758512901833754,2.481
ads,Schwefel_2_22,19,4.209910835302081,2.448
ads,Schwefel_2_22,2,3.364668321808456,2.381
ads,Schwefel_2_22,20,3.22894278350397,2.386
ads,Schwefel_2_22,21,3.812856724560407,2.421
ads,Schwefel_2_22,22,1.7386390995927217,2.328
ads,Schwefel_2_22,23,4.0776203125967685,2.361
ads,Schwefel_2_22,24,2.2611231926457815,2.437
ads,Schwefel_2_22,25,3.6205338583466915,2.43
ads,Schwefel_2_22,26,3.061803848015437,2.418
ads,Schwefel_2_22,27,2.9638020862374552,2.474
ads,Schwefel_2_22,28,2.093910581581728,2.456
ads,Schwefel_2_22,29,4.442975358261259,2.373
ads,Schwefel_2_22,3,3.117649310037854,2.412
ads,Schwefel_2_22,4,2.334856805782693,2.47
ads,Schwefel_2_22,5,0.6939396334109307,2.453
ads,Schwefel_2_22,6,4.214811815877665,2.403
ads,Schwefel_2_22,7,2.582594531732545,2.443
ads,Schwefel_2_22,8,2.7844838023924656,2.454
ads,Schwefel_2_22,9,3.6535327787227354,2.431
ads,Schwefel_2_26,0,-20440.353997329126,2.578
ads,Schwefel_2_26,1,-20285.638264462497,2.514
ads,Schwefel_2_26,10,-20036.86427539232,2.391
ads,Schwefel_2_26,11,-19026.93441277733,2.432
ads,Schwefel_2_26,12,-20427.46136928187,2.381
ads,Schwefel_2_26,13,-19571.75666871587,2.283
ads,Schwefel_2_26,14,-19078.369192617996,2.408
ads,Schwefel_2_26,15,-18746.553519009092,2.532
ads,Schwefel_2_26,16,-20934.088000117037,2.252
ads,Schwefel_2_26,17,-18824.768751277268,2.389
ads,Schwefel_2_26,18,-20177.09858556498,2.444
ads,Schwefel_2_26,19,-19629.93126471121,2.179
ads,Schwefel_2_26,2,-16965.354811544465,2.402
ads,Schwefel_2_26,20,-19518.9839233573,2.371
ads,Schwefel_2_26,21,-19512.36551208622,2.251
ads,Schwefel_2_26,22,-19334.40594162642,2.246
ads,Schwefel_2_26,23,-20131.680100080976,2.461
ads,Schwefel_2_26,24,-20263.00740147227,2.187
ads,Schwefel_2_26,25,-19729.94491981559,2.255
ads,Schwefel_2_26,26,-19341.26682812759,2.529
ads,Schwefel_2_26,27,-19374.11008637333,2.213
ads,Schwefel_2_26,28,-20736.764167515892,2.319
ads,Schwefel_2_26,29,-20815.753318083036,2.235
ads,Schwefel_2_26,3,-19236.587538229312,2.267
ads,Schwefel_2_26,4,-19967.15238676079,2.625
ads,Schwefel_2_26,5,-21259.105515110805,2.441
ads,Schwefel_2_26,6,-19353.901416800505,2.281
ads,Schwefel_2_26,7,-19631.34705493808,2.246
ads,Schwefel_2_26,8,-20163.913183409695,2.284
ads,Schwefel_2_26,9,-19024.171287322053,2.358
ads,Sphere,0,0.000373298429586336,1.953
ads,Sphere,1,0.00030076046006833956,1.938
ads,Sphere,10,0.0024173293388751634,2.065
ads,Sphere,11,0.0008856334538159595,1.985
ads,Sphere,12,0.0008590671105300014,1.912
ads,Sphere,13,0.0007361024276591852,2.023
ads,Sphere,14,0.00137398917370064,2.04
ads,Sphere,15,0.0019997627100540438,2.088
ads,Sphere,16,0.0006064422589870255,1.925
ads,Sphere,17,0.0006481076403911878,1.992
ads,Sphere,18,0.0009698059040540508,2.011
ads,Sphere,19,0.0008265618810842035,2.061
ads,Sphere,2,0.0013389474045829488,1.949
ads,Sphere,20,0.0009330731077831445,1.949
ads,Sphere,21,0.00018665991500174821,2.016
ads,Sphere,22,0.0005432513691953863,1.941
ads,Sphere,23,0.0012231298918558612,1.942
ads,Sphere,24,0.001001447163874038,1.984
ads,Sphere,25,0.000185767766912326,2.035
ads,Sphere,26,0.00036413683157196806,2.015
ads,Sphere,27,0.0006216371851139367,2.02
ads,Sphere,28,0.000686712562519611,1.924
ads,Sphere,29,0.0007844344134958394,1.975
ads,Sphere,3,0.0004968583185932525,1.95
ads,Sphere,4,0.001470977646884894,2.076
ads,Sphere,5,0.00027994224244522333,1.989
ads,Sphere,6,0.0023123511428192766,2.014
ads,Sphere,7,0.0009759850315409426,2.037
ads,Sphere,8,5.2850111337627496e-05,1.932
ads,Sphere,9,0.001602013262732086,2.013
ads,Step,0,0.0,2.6
ads,Step,1,0.0,2.375
ads,Step,10,0.0,2.404
ads,Step,11,0.0,2.436
ads,Step,12,0.0,2.371
ads,Step,13,0.0,2.338
ads,Step,14,0.0,2.627
ads,Step,15,0.0,2.473
ads,Step,16,0.0,2.441
ads,Step,17,0.0,2.508
ads,Step,18,0.0,2.512
ads,Step,19,0.0,2.389
ads,Step,2,0.0,2.41
ads,Step,20,0.0,2.412
ads,Step,21,0.0,2.629
ads,Step,22,0.0,2.611
ads,Step,23,0.0,2.479
ads,Step,24,0.0,2.447
ads,Step,25,0.0,2.666
ads,Step,26,0.0,2.516
ads,Step,27,0.0,2.477
ads,Step,28,0.0,2.585
ads,Step,29,0.0,2.412
ads,Step,3,0.0,2.414
ads,Step,4,0.0,2.411
ads,Step,5,0.0,2.453
ads,Step,6,0.0,2.421
ads,Step,7,0.0,2.591
ads,Step,8,0.0,2.418
ads,Step,9,0.0,2.462
fixed_K16,Ackley,0,0.32701333352461903,1.823
fixed_K16,Ackley,1,6.46887604722151,1.792
fixed_K16,Ackley,10,4.9199379832736625,1.998
fixed_K16,Ackley,11,6.604628818102956,1.817
