variant,function,seed,best,evals,seconds
ring,Quartic,10,1.7396155039707283e-11,105000,9.025040399996215
ring,Quartic,11,1.1647503824249421e-10,105000,9.022546499996679
ring,Quartic,12,1.2382938338228503e-11,105000,9.068300700004329
ring,Quartic,13,2.4435821823893073e-11,105000,9.008743099999265
ring,Quartic,14,8.885532281394622e-13,105000,9.071851500004414
ring,Quartic,15,1.9790854821200092e-11,105000,9.107465399996727
ring,Quartic,16,2.261267533530071e-11,105000,9.053624799998943
ring,Quartic,17,1.0638239643330604e-11,105000,9.212655200011795
ring,Quartic,18,7.125983707371346e-12,105000,9.133219800001825
ring,Quartic,19,4.6735458129911405e-12,105000,9.170351499997196
ring,Quartic,20,4.3770996209083513e-13,105000,9.130747200004407
ring,Quartic,21,1.626204976431702e-11,105000,9.236584500002209
ring,Quartic,22,1.0554589622089369e-11,105000,9.166723100002855
ring,Quartic,23,4.4738389559551895e-11,105000,9.164514300005976
ring,Quartic,24,3.1894486811749796e-12,105000,9.260296799999196
ring,Quartic,25,9.15999038903292e-12,105000,9.093057700010831
ring,Quartic,26,4.087556907188265e-12,105000,9.10620760000893
ring,Quartic,27,2.5404310187949477e-13,105000,9.189245299989125
ring,Quartic,28,4.056460514396511e-11,105000,9.191973900000448
ring,Quartic,29,1.844989060627996e-12,105000,9.176643200000399
ring,Schwefel_1_2,0,149.69893097017479,105000,25.599734199990053
ring,Schwefel_1_2,1,90.14899740136988,105000,25.64187479999964
ring,Schwefel_1_2,2,188.4160250912772,105000,26.2757663000084
ring,Schwefel_1_2,3,137.33506796139665,105000,25.966615500001353
ring,Schwefel_1_2,4,55.81367587551721,105000,25.554863500001375
ring,Schwefel_1_2,5,80.0218092709597,105000,25.508678500002134
ring,Schwefel_1_2,6,50.02082624295165,105000,34.055765600001905
ring,Schwefel_1_2,7,80.85898831208713,105000,33.85385060000408
ring,Schwefel_1_2,8,71.34050422531463,105000,33.908874200002174
ring,Schwefel_1_2,9,102.9424934179214,105000,34.18513709999388
ring,Schwefel_1_2,10,73.9867247887816,105000,34.060679899994284
ring,Schwefel_1_2,11,201.14107548456815,105000,34.12534040000173
ring,Schwefel_1_2,12,219.28636089853407,105000,34.387916899999254
ring,Schwefel_1_2,13,90.43087687155968,105000,34.11292719999619
ring,Schwefel_1_2,14,131.6323975909206,105000,33.993745200001285
ring,Schwefel_1_2,15,19.62676887774654,105000,34.20173099999374
ring,Schwefel_1_2,16,26.026734599098138,105000,33.91799039999023
ring,Schwefel_1_2,17,81.46199586454964,105000,33.94345710000198
ring,Schwefel_1_2,18,101.27447115897775,105000,33.65179409999109
ring,Schwefel_1_2,19,147.0770814339853,105000,33.56651169998804
ring,Schwefel_1_2,20,68.40833676708368,105000,33.71075050000218
ring,Schwefel_1_2,21,97.19671931469969,105000,33.62373949999164
ring,Schwefel_1_2,22,44.841225851828085,105000,33.75409889999719
ring,Schwefel_1_2,23,66.66048400779043,105000,33.730413500001305
ring,Schwefel_1_2,24,68.66395935160439,105000,33.891099100001156
ring,Schwefel_1_2,25,42.70032085954644,105000,33.83915650000563
ring,Schwefel_1_2,26,74.38386694914388,105000,33.87189419999777
ring,Schwefel_1_2,27,36.557120336212535,105000,33.70831129999715
ring,Schwefel_1_2,28,117.55015354680738,105000,33.97333209999488
ring,Schwefel_1_2,29,112.50018270051287,105000,33.76065609999932
ws_K20,Sphere,0,0.0009895135528023894,105000,10.847885600000154
